,name,rating,provider,lat,lon,city
270,Aşiyan Pasta & Bistro (Cebeci Mah.),4.6,GETIR,39.9334,32.8597,ANKARA
271,Ustam Kebap Dünyası (Aksaray Mah.),4.7,GETIR,41.0082,28.9784,ISTANBUL
272,"Dois Döner, Çankaya (Kızılay Meşrutiyet Mah.)",4.7,GETIR,39.9334,32.8597,ANKARA
273,"Hanedan İskender & Pide & Kebap, Çankaya (Fakülteler Mah.)",4.0,GETIR,39.9334,32.8597,ANKARA
274,Pidem (Akşemsettin Mah.),3.8,GETIR,41.0082,28.9784,ISTANBUL
275,ECK Erzurum Cağ Kebap (Akşemsettin Mah.),4.4,GETIR,41.0082,28.9784,ISTANBUL
276,"Bülent Börek, Merkez (Üniversite Mah.)",4.6,GETIR,38.6748,39.2225,ELAZIĞ
277,Bilkent Sözeri Pide & Kebap (Beytepe Mah.),4.5,GETIR,39.9334,32.8597,ANKARA
278,Berlinerci (Mimar Hayrettin Mah.),3.2,GETIR,41.0082,28.9784,ISTANBUL
279,"Italian Di'pizza, Çankaya (Fakülteler Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
280,"Tantuni Time, Merkez (Sürsürü Mah.)",0.0,GETIR,38.6748,39.2225,ELAZIĞ
281,"Paşam Kebap ve Lahmacun, Merkez (İcadiye Mah.)",0.0,GETIR,38.6748,39.2225,ELAZIĞ
282,Hazarking Çiğ Köfte,0.0,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
283,Bambi Cafe (Sirkeci),4.4,GETIR,41.0082,28.9784,ISTANBUL
284,Hero's Tatlı (Hobyar Mah.)   ,0.0,GETIR,41.0082,28.9784,ISTANBUL
285,"Big Baker Burger & Bakery, Kızılay (Meşrutiyet)",4.1,GETIR,39.9334,32.8597,ANKARA
286,Pasaport Pizza,3.9,YEMEK_SEPETI,39.9334,32.8597,ANKARA
287,"Rumeli Çarşı Marmaris, Şişli (Halaskargazi Mah.)  ",4.0,GETIR,41.0082,28.9784,ISTANBUL
288,Yesen Burger,4.0,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
289,Balya Mutfak (Firuzağa Mah.),4.7,GETIR,41.0082,28.9784,ISTANBUL
290,Hacı Bozan Oğulları (Mesihpaşa Mah.),4.3,GETIR,41.0082,28.9784,ISTANBUL
291,Meşhur Adıyaman Çiğ Köftecisi Ömer Aybak,4.1,YEMEK_SEPETI,39.9334,32.8597,ANKARA
292,"Komagene Etsiz Çiğ Köfte, Merkez (Seyda Molla Bahri Blv.)  ",4.6,GETIR,38.6748,39.2225,ELAZIĞ
293,Ciğerci Komutan,3.7,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
294,"Öz Çiçek Unlu Mamüller, Merkez (Cumhuriyet Mah.)",3.9,GETIR,38.6748,39.2225,ELAZIĞ
295,Etiler Marmaris,3.3,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
296,İmç Unkapanı Pilavcısı,4.4,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
297,Baltazar (Kemankeş Karamustafapaşa Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
298,"Hüso Gözleme, Altındağ (Hacettepe Mah.)",4.3,GETIR,39.9334,32.8597,ANKARA
299,Allons-y Burger (Kavaklıdere ),4.7,GETIR,39.9334,32.8597,ANKARA
300,Meşhur Adıyaman Çiğ Köftecisi Ömer Aybak (Beştepe Mah.),4.3,GETIR,39.9334,32.8597,ANKARA
301,"Hot Döner, Merkez (Üniversite Mah.)",4.5,GETIR,38.6748,39.2225,ELAZIĞ
302,Köfteci Yusuf,3.7,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
303,"Tombiş, Çankaya (Fakülteler Mah.)",4.3,GETIR,39.9334,32.8597,ANKARA
304,Akarca Kumru (Seyyid Ömer Mah.),4.4,GETIR,41.0082,28.9784,ISTANBUL
305,"Chef Kajun & Burger, Çankaya (Cebeci Mah.)",4.3,GETIR,39.9334,32.8597,ANKARA
306,"Kebap 149, Altındağ (Gültepe Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
307,"Farm Burger, Çankaya ( Fakülteler Mah. )",4.4,GETIR,39.9334,32.8597,ANKARA
308,Nasip Et Kebap & Pide,3.7,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
309,Mila Balık,4.5,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
310,"Kırık Oklava, Çankaya (Cebeci Mah.)",4.3,GETIR,39.9334,32.8597,ANKARA
311,Tarihi Eminönü Dürümcüsü (Hobyar Mah.),4.3,GETIR,41.0082,28.9784,ISTANBUL
312,"Kebap 9, Çankaya (Fakülteler Mah.)",4.5,GETIR,39.9334,32.8597,ANKARA
313,"Çömçe İşkembe & Kebap Evi, Mamak (Akdere Mah.)  ",4.4,GETIR,39.9334,32.8597,ANKARA
314,Ali Usta Burma Kadayıf & Baklavaları (Hocapaşa Mah. ),4.1,GETIR,41.0082,28.9784,ISTANBUL
315,"Maxchicken, Merkez (Yeni Mah.)",4.0,GETIR,38.6748,39.2225,ELAZIĞ
316,Ada Döner (Şehremini Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
317,"Son Durak Kilo Mangal & Dürüm, Merkez (Yeni Mah.)",3.5,GETIR,38.6748,39.2225,ELAZIĞ
318,Dönerci Hasan Usta (Alibeyköy Mah),4.4,GETIR,41.0082,28.9784,ISTANBUL
319,Pınar Köfte,3.7,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
320,"Hacıbey Köfte, Merkez (İzzet Paşa Mah.)",4.3,GETIR,38.6748,39.2225,ELAZIĞ
321,Oses Çiğ Köfte (Mimar Hayrettin Mah.),3.6,GETIR,41.0082,28.9784,ISTANBUL
322,Klas Köfte,3.6,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
323,Burger Paket (Telsiz Mah.),4.4,GETIR,41.0082,28.9784,ISTANBUL
324,"Koçoğlu Elazığ Sofrası, Merkez (Sürsürü Mah.)",4.5,GETIR,38.6748,39.2225,ELAZIĞ
325,"Komagene Etsiz Çiğ Köfte, Mamak (Abidinpaşa Mah.-Karaşar Cad.)",4.1,GETIR,39.9334,32.8597,ANKARA
326,Sedef İskender (Ali Kuşçu Mah.),4.4,GETIR,41.0082,28.9784,ISTANBUL
327,"Aden Kır Pidesi, Çankaya (Cebeci Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
328,Kudo Kudo (Akşemsettin Mah.),3.4,GETIR,41.0082,28.9784,ISTANBUL
329,Park Pilavcı Hasan Usta'nın Yeri (Molla Gürani Mah.),4.3,GETIR,41.0082,28.9784,ISTANBUL
330,Mevlana Pide (Gökalp Mah.)   ,3.0,GETIR,41.0082,28.9784,ISTANBUL
331,"Hakiki Adanalı Dürüm Şırdan, Çankaya (Kızılay Meşrutiyet Mah.)",4.8,GETIR,39.9334,32.8597,ANKARA
332,Validem Börek (Esatoğlu Mah.),4.7,GETIR,39.9334,32.8597,ANKARA
